No,ID,Title,Theme,Geometry_Type,Year,Detail_URL
41,68a6c52456e8afeaaa42d32a,Perdagangan dan Retail,Economy,Point,2025,https://mapid.co.id/data-catalog/detail/68a6c52456e8afeaaa42d32a
42,68a6c76056e8afeaaa42d417,Minimarket,Economy,Point,2026,https://mapid.co.id/data-catalog/detail/68a6c76056e8afeaaa42d417
43,68a7064e56e8afeaaa43085e,Toko Perlengkapan Teknologi dan Gadget,Economy,Point,2023,https://mapid.co.id/data-catalog/detail/68a7064e56e8afeaaa43085e
44,68a707bf8e7b033391e09624,Toko Sepatu dan Tas,Economy,Point,2023,https://mapid.co.id/data-catalog/detail/68a707bf8e7b033391e09624
45,68a6cfbf56e8afeaaa42ed39,Toko Elektronik,Economy,Point,2023,https://mapid.co.id/data-catalog/detail/68a6cfbf56e8afeaaa42ed39
46,68a6d1708e7b033391e0860b,Toko Hewan Peliharaan,Economy,Point,2025,https://mapid.co.id/data-catalog/detail/68a6d1708e7b033391e0860b
47,68a6d4f18e7b033391e08961,Toko Kosmetik dan Kecantikan,Economy,Point,2023,https://mapid.co.id/data-catalog/detail/68a6d4f18e7b033391e08961
48,68a6ee9656e8afeaaa43005c,Makanan dan Minuman,Food & Beverages,Point,2025,https://mapid.co.id/data-catalog/detail/68a6ee9656e8afeaaa43005c
49,68a7cff58e7b033391e0a517,Bar,Food & Beverages,Point,2025,https://mapid.co.id/data-catalog/detail/68a7cff58e7b033391e0a517
50,68a7d12d8e7b033391e0a8a5,Minuman,Food & Beverages,Point,2025,https://mapid.co.id/data-catalog/detail/68a7d12d8e7b033391e0a8a5
51,68a7d2698e7b033391e0a901,Restoran,Food & Beverages,Point,2025,https://mapid.co.id/data-catalog/detail/68a7d2698e7b033391e0a901
52,68ad76a437a868906bd93c5a,Toko Parfum,Economy,Point,2025,https://mapid.co.id/data-catalog/detail/68ad76a437a868906bd93c5a
53,68ad6a914871cd1d2bfb7f5e,Toko Optik,Economy,Point,2025,https://mapid.co.id/data-catalog/detail/68ad6a914871cd1d2bfb7f5e
54,68ad6d7a37a868906bd93b48,Toko Souvenir dan Kerajinan,Economy,Point,2025,https://mapid.co.id/data-catalog/detail/68ad6d7a37a868906bd93b48
55,68aaf0c11c651ed037b531bd,Jaringan Listrik,Energy,LineString,2025,https://mapid.co.id/data-catalog/detail/68aaf0c11c651ed037b531bd
56,68ad6c6937a868906bd93aed,Toko Tekstil,Economy,Point,2025,https://mapid.co.id/data-catalog/detail/68ad6c6937a868906bd93aed
57,68a6d6a58e7b033391e08b2d,Layanan Keuangan,Services,Point,2025,https://mapid.co.id/data-catalog/detail/68a6d6a58e7b033391e08b2d
58,68a6d46b56e8afeaaa42f971,Home Service,Services,Point,2025,https://mapid.co.id/data-catalog/detail/68a6d46b56e8afeaaa42f971
59,68a6d58e8e7b033391e08aa2,Layanan Hukum dan Pajak,Services,Point,2025,https://mapid.co.id/data-catalog/detail/68a6d58e8e7b033391e08aa2
60,68a6d77d8e7b033391e08b36,Layanan Komunikasi dan Utilitas,Services,Point,2025,https://mapid.co.id/data-catalog/detail/68a6d77d8e7b033391e08b36
61,68a6ec938e7b033391e08d94,Perpustakaan,Services,Point,2025,https://mapid.co.id/data-catalog/detail/68a6ec938e7b033391e08d94
62,68a6e76356e8afeaaa42fce4,Layanan Logistik,Services,Point,2025,https://mapid.co.id/data-catalog/detail/68a6e76356e8afeaaa42fce4
63,68a6e8d456e8afeaaa42fd06,Layanan Perbaikan Elektronik,Services,Point,2025,https://mapid.co.id/data-catalog/detail/68a6e8d456e8afeaaa42fd06
